date,source,tocurrency,rate,Day Of Week
2009-01-01,USD,INR,48.491945,3
2009-01-02,USD,INR,48.299398,4
2009-01-03,USD,INR,48.238415,5
2009-01-04,USD,INR,48.238415,6
2009-01-05,USD,INR,48.493468,0
2009-01-06,USD,INR,48.561746,1
2009-01-07,USD,INR,48.690604,2
2009-01-08,USD,INR,48.433723,3
2009-01-09,USD,INR,48.216932,4
2009-01-10,USD,INR,48.206054,5
2009-01-11,USD,INR,48.206054,6
2009-01-12,USD,INR,48.784206,0
2009-01-13,USD,INR,48.950276,1
2009-01-14,USD,INR,48.677987,2
2009-01-15,USD,INR,48.849201,3
2009-01-16,USD,INR,48.593337,4
2009-01-17,USD,INR,48.630245,5
2009-01-18,USD,INR,48.630245,6
2009-01-19,USD,INR,48.546554,0
2009-01-20,USD,INR,49.000864,1
2009-01-21,USD,INR,49.111258,2
2009-01-22,USD,INR,48.986757,3
2009-01-23,USD,INR,49.107275,4
2009-01-24,USD,INR,49.161997,5
2009-01-25,USD,INR,49.161997,6
2009-01-26,USD,INR,48.551642,0
2009-01-27,USD,INR,48.781291,1
2009-01-28,USD,INR,48.850647,2
2009-01-29,USD,INR,48.671993,3
2009-01-30,USD,INR,48.785026,4
2009-01-31,USD,INR,48.835158,5
2009-02-01,USD,INR,48.835158,6
2009-02-02,USD,INR,48.73613,0
2009-02-03,USD,INR,48.386736,1
2009-02-04,USD,INR,48.653707,2
2009-02-05,USD,INR,48.703945,3
2009-02-06,USD,INR,48.580398,4
2009-02-07,USD,INR,48.605874,5
2009-02-08,USD,INR,48.605874,6
2009-02-09,USD,INR,48.559105,0
2009-02-10,USD,INR,48.735639,1
2009-02-11,USD,INR,48.755736,2
2009-02-12,USD,INR,48.674994,3
2009-02-13,USD,INR,48.54331,4
2009-02-14,USD,INR,48.625225,5
2009-02-15,USD,INR,48.625225,6
2009-02-16,USD,INR,48.641291,0
2009-02-17,USD,INR,49.565227,1
2009-02-18,USD,INR,49.80065,2
2009-02-19,USD,INR,49.667358,3
2009-02-20,USD,INR,49.674971,4
2009-02-21,USD,INR,49.689783,5
2009-02-22,USD,INR,49.689783,6
2009-02-23,USD,INR,49.656897,0
2009-02-24,USD,INR,49.827108,1
2009-02-25,USD,INR,49.894582,2
2009-02-26,USD,INR,50.375128,3
2009-02-27,USD,INR,51.056065,4
2009-02-28,USD,INR,51.218123,5
2009-03-01,USD,INR,51.218123,6
2009-03-02,USD,INR,51.932284,0
2009-03-03,USD,INR,51.983543,1
2009-03-04,USD,INR,51.524605,2
2009-03-05,USD,INR,51.668103,3
2009-03-06,USD,INR,51.689298,4
2009-03-07,USD,INR,51.692524,5
2009-03-08,USD,INR,51.692524,6
2009-03-09,USD,INR,51.889092,0
2009-03-10,USD,INR,51.456286,1
2009-03-11,USD,INR,51.142092,2
2009-03-12,USD,INR,51.783825,3
2009-03-13,USD,INR,51.481976,4
2009-03-14,USD,INR,51.41116,5
2009-03-15,USD,INR,51.41116,6
2009-03-16,USD,INR,51.337542,0
2009-03-17,USD,INR,51.404763,1
2009-03-18,USD,INR,51.23058,2
2009-03-19,USD,INR,50.284366,3
2009-03-20,USD,INR,50.566134,4
2009-03-21,USD,INR,50.618619,5
2009-03-22,USD,INR,50.618619,6
2009-03-23,USD,INR,50.364818,0
