date,source,tocurrency,rate,Day Of Week
2009-03-24,USD,INR,50.529889,1
2009-03-25,USD,INR,50.565248,2
2009-03-26,USD,INR,50.357414,3
2009-03-27,USD,INR,50.531602,4
2009-03-28,USD,INR,50.489452,5
2009-03-29,USD,INR,50.489452,6
2009-03-30,USD,INR,51.270831,0
2009-03-31,USD,INR,50.767667,1
2009-04-01,USD,INR,50.556022,2
2009-04-02,USD,INR,50.2016,3
2009-04-03,USD,INR,49.969299,4
2009-04-04,USD,INR,49.918195,5
2009-04-05,USD,INR,49.918195,6
2009-04-06,USD,INR,50.009179,0
2009-04-07,USD,INR,50.000827,1
2009-04-08,USD,INR,50.283341,2
2009-04-09,USD,INR,49.876032,3
2009-04-10,USD,INR,49.801582,4
2009-04-11,USD,INR,49.823164,5
2009-04-12,USD,INR,49.823164,6
2009-04-13,USD,INR,49.835545,0
2009-04-14,USD,INR,49.648419,1
2009-04-15,USD,INR,49.638027,2
2009-04-16,USD,INR,49.710664,3
2009-04-17,USD,INR,49.803222,4
2009-04-18,USD,INR,49.749811,5
2009-04-19,USD,INR,49.749811,6
2009-04-20,USD,INR,50.041126,0
2009-04-21,USD,INR,50.417352,1
2009-04-22,USD,INR,50.281604,2
2009-04-23,USD,INR,49.904857,3
2009-04-24,USD,INR,49.755106,4
2009-04-25,USD,INR,49.800531,5
2009-04-26,USD,INR,49.800531,6
2009-04-27,USD,INR,50.190449,0
2009-04-28,USD,INR,50.481161,1
2009-04-29,USD,INR,50.030729,2
2009-04-30,USD,INR,49.715582,3
2009-05-01,USD,INR,49.585992,4
2009-05-02,USD,INR,49.521983,5
2009-05-03,USD,INR,49.521983,6
2009-05-04,USD,INR,49.764074,0
2009-05-05,USD,INR,49.276091,1
2009-05-06,USD,INR,49.465606,2
2009-05-07,USD,INR,49.124288,3
2009-05-08,USD,INR,49.187517,4
2009-05-09,USD,INR,49.149869,5
2009-05-10,USD,INR,49.149869,6
2009-05-11,USD,INR,49.456482,0
2009-05-12,USD,INR,49.280639,1
2009-05-13,USD,INR,49.633319,2
2009-05-14,USD,INR,49.693606,3
2009-05-15,USD,INR,49.400396,4
2009-05-16,USD,INR,49.428526,5
2009-05-17,USD,INR,49.428526,6
2009-05-18,USD,INR,47.761805,0
2009-05-19,USD,INR,47.692599,1
2009-05-20,USD,INR,47.405947,2
2009-05-21,USD,INR,47.313183,3
2009-05-22,USD,INR,47.059172,4
2009-05-23,USD,INR,47.117582,5
2009-05-24,USD,INR,47.117582,6
2009-05-25,USD,INR,47.226221,0
2009-05-26,USD,INR,47.762858,1
2009-05-27,USD,INR,47.639805,2
2009-05-28,USD,INR,47.559974,3
2009-05-29,USD,INR,47.139992,4
2009-05-30,USD,INR,47.192653,5
2009-05-31,USD,INR,47.192653,6
2009-06-01,USD,INR,46.891283,0
2009-06-02,USD,INR,46.9215,1
2009-06-03,USD,INR,47.021399,2
2009-06-04,USD,INR,47.179657,3
2009-06-05,USD,INR,47.074786,4
2009-06-06,USD,INR,47.062133,5
2009-06-07,USD,INR,47.062133,6
2009-06-08,USD,INR,47.51868,0
2009-06-09,USD,INR,47.403032,1
2009-06-10,USD,INR,47.240424,2
2009-06-11,USD,INR,47.511854,3
2009-06-12,USD,INR,47.560603,4
2009-06-13,USD,INR,47.478267,5
2009-06-14,USD,INR,47.478267,6
2009-06-15,USD,INR,47.708689,0
2009-06-16,USD,INR,47.628572,1
2009-06-17,USD,INR,47.974064,2
2009-06-18,USD,INR,48.13408,3
2009-06-19,USD,INR,48.04222,4
2009-06-20,USD,INR,48.116325,5
2009-06-21,USD,INR,48.116325,6
2009-06-22,USD,INR,48.46782,0
2009-06-23,USD,INR,48.517825,1
2009-06-24,USD,INR,48.45393,2
2009-06-25,USD,INR,48.552669,3
2009-06-26,USD,INR,48.077758,4
2009-06-27,USD,INR,48.133104,5
2009-06-28,USD,INR,48.133104,6
2009-06-29,USD,INR,48.039198,0
2009-06-30,USD,INR,47.802206,1
2009-07-01,USD,INR,47.81494,2
2009-07-02,USD,INR,47.915125,3
2009-07-03,USD,INR,47.876916,4
2009-07-04,USD,INR,47.950813,5
2009-07-05,USD,INR,47.950813,6
2009-07-06,USD,INR,48.539725,0
2009-07-07,USD,INR,48.379437,1
2009-07-08,USD,INR,48.853043,2
2009-07-09,USD,INR,48.647704,3
2009-07-10,USD,INR,48.824151,4
2009-07-11,USD,INR,48.922439,5
2009-07-12,USD,INR,48.922439,6
2009-07-13,USD,INR,49.062569,0
2009-07-14,USD,INR,48.932992,1
2009-07-15,USD,INR,48.568025,2
2009-07-16,USD,INR,48.617001,3
2009-07-17,USD,INR,48.640002,4
2009-07-18,USD,INR,48.629702,5
2009-07-19,USD,INR,48.629702,6
2009-07-20,USD,INR,48.167951,0
2009-07-21,USD,INR,48.350318,1
2009-07-22,USD,INR,48.48277,2
2009-07-23,USD,INR,48.364396,3
2009-07-24,USD,INR,48.205005,4
2009-07-25,USD,INR,48.22489,5
2009-07-26,USD,INR,48.22489,6
2009-07-27,USD,INR,48.156366,0
2009-07-28,USD,INR,48.229537,1
2009-07-29,USD,INR,48.321792,2
2009-07-30,USD,INR,48.342563,3
2009-07-31,USD,INR,47.930754,4
2009-08-01,USD,INR,47.820302,5
2009-08-02,USD,INR,47.820302,6
2009-08-03,USD,INR,47.481864,0
2009-08-04,USD,INR,47.563957,1
2009-08-05,USD,INR,47.36335,2
2009-08-06,USD,INR,47.599907,3
2009-08-07,USD,INR,47.737099,4
2009-08-08,USD,INR,47.726445,5
2009-08-09,USD,INR,47.726445,6
2009-08-10,USD,INR,47.775884,0
2009-08-11,USD,INR,47.942365,1
2009-08-12,USD,INR,48.282313,2
2009-08-13,USD,INR,48.081115,3
2009-08-14,USD,INR,48.223438,4
2009-08-15,USD,INR,48.245597,5
2009-08-16,USD,INR,48.245597,6
2009-08-17,USD,INR,48.861944,0
2009-08-18,USD,INR,48.772381,1
2009-08-19,USD,INR,48.798869,2
2009-08-20,USD,INR,48.643753,3
2009-08-21,USD,INR,48.532709,4
2009-08-22,USD,INR,48.537979,5
2009-08-23,USD,INR,48.537979,6
2009-08-24,USD,INR,48.550964,0
2009-08-25,USD,INR,48.741084,1
2009-08-26,USD,INR,48.89619,2
2009-08-27,USD,INR,48.868953,3
2009-08-28,USD,INR,48.583388,4
2009-08-29,USD,INR,48.57032,5
2009-08-30,USD,INR,48.57032,6
2009-08-31,USD,INR,48.79375,0
2009-09-01,USD,INR,49.023558,1
2009-09-02,USD,INR,48.929329,2
2009-09-03,USD,INR,48.868822,3
2009-09-04,USD,INR,48.855699,4
2009-09-05,USD,INR,48.81704,5
2009-09-06,USD,INR,48.81704,6
2009-09-07,USD,INR,48.662058,0
2009-09-08,USD,INR,48.418192,1
2009-09-09,USD,INR,48.430794,2
2009-09-10,USD,INR,48.494091,3
2009-09-11,USD,INR,48.430558,4
2009-09-12,USD,INR,48.426957,5
2009-09-13,USD,INR,48.426957,6
2009-09-14,USD,INR,48.678923,0
2009-09-15,USD,INR,48.573592,1
2009-09-16,USD,INR,48.207081,2
2009-09-17,USD,INR,48.134965,3
2009-09-18,USD,INR,48.10548,4
2009-09-19,USD,INR,48.161111,5
2009-09-20,USD,INR,48.161111,6
2009-09-21,USD,INR,48.014071,0
2009-09-22,USD,INR,47.918877,1
2009-09-23,USD,INR,47.945269,2
2009-09-24,USD,INR,47.923927,3
2009-09-25,USD,INR,47.969426,4
2009-09-26,USD,INR,48.038264,5
2009-09-27,USD,INR,48.038264,6
2009-09-28,USD,INR,47.828313,0
2009-09-29,USD,INR,48.087034,1
2009-09-30,USD,INR,47.887451,2
2009-10-01,USD,INR,47.737246,3
2009-10-02,USD,INR,47.672125,4
2009-10-03,USD,INR,47.659247,5
2009-10-04,USD,INR,47.659247,6
2009-10-05,USD,INR,47.465345,0
2009-10-06,USD,INR,46.856734,1
2009-10-07,USD,INR,46.640711,2
2009-10-08,USD,INR,46.284311,3
2009-10-09,USD,INR,46.425282,4
2009-10-10,USD,INR,46.425677,5
2009-10-11,USD,INR,46.425677,6
2009-10-12,USD,INR,46.472007,0
2009-10-13,USD,INR,46.330637,1
2009-10-14,USD,INR,46.05702,2
2009-10-15,USD,INR,46.141562,3
2009-10-16,USD,INR,46.271211,4
2009-10-17,USD,INR,46.31395,5
2009-10-18,USD,INR,46.31395,6
2009-10-19,USD,INR,46.067909,0
2009-10-20,USD,INR,46.183837,1
2009-10-21,USD,INR,46.446466,2
2009-10-22,USD,INR,46.647337,3
2009-10-23,USD,INR,46.471433,4
2009-10-24,USD,INR,46.494311,5
2009-10-25,USD,INR,46.494311,6
2009-10-26,USD,INR,46.638519,0
2009-10-27,USD,INR,46.939093,1
2009-10-28,USD,INR,47.186542,2
2009-10-29,USD,INR,47.148672,3
2009-10-30,USD,INR,46.944137,4
2009-10-31,USD,INR,46.922277,5
2009-11-01,USD,INR,46.922277,6
2009-11-02,USD,INR,46.888098,0
2009-11-03,USD,INR,47.346312,1
2009-11-04,USD,INR,46.990008,2
2009-11-05,USD,INR,46.961599,3
2009-11-06,USD,INR,46.825784,4
2009-11-07,USD,INR,46.887159,5
2009-11-08,USD,INR,46.887159,6
2009-11-09,USD,INR,46.410079,0
2009-11-10,USD,INR,46.404889,1
2009-11-11,USD,INR,46.334253,2
2009-11-12,USD,INR,46.636581,3
2009-11-13,USD,INR,46.266914,4
2009-11-14,USD,INR,46.307044,5
2009-11-15,USD,INR,46.307044,6
2009-11-16,USD,INR,46.108072,0
2009-11-17,USD,INR,46.228876,1
2009-11-18,USD,INR,46.158911,2
2009-11-19,USD,INR,46.57941,3
2009-11-20,USD,INR,46.535185,4
2009-11-21,USD,INR,46.369413,5
2009-11-22,USD,INR,46.369413,6
2009-11-23,USD,INR,46.448574,0
2009-11-24,USD,INR,46.373743,1
2009-11-25,USD,INR,46.154804,2
2009-11-26,USD,INR,46.366787,3
2009-11-27,USD,INR,46.586607,4
2009-11-28,USD,INR,46.559802,5
2009-11-29,USD,INR,46.559802,6
2009-11-30,USD,INR,46.435371,0
2009-12-01,USD,INR,46.252962,1
2009-12-02,USD,INR,46.28877,2
2009-12-03,USD,INR,46.050634,3
2009-12-04,USD,INR,46.180218,4
2009-12-05,USD,INR,46.145659,5
2009-12-06,USD,INR,46.145659,6
2009-12-07,USD,INR,46.51188,0
2009-12-08,USD,INR,46.60795,1
2009-12-09,USD,INR,46.551131,2
2009-12-10,USD,INR,46.578854,3
2009-12-11,USD,INR,46.512632,4
2009-12-12,USD,INR,46.506941,5
2009-12-13,USD,INR,46.506941,6
2009-12-14,USD,INR,46.665645,0
2009-12-15,USD,INR,46.702307,1
2009-12-16,USD,INR,46.614188,2
2009-12-17,USD,INR,46.866132,3
2009-12-18,USD,INR,46.773761,4
2009-12-19,USD,INR,46.901145,5
2009-12-20,USD,INR,46.901145,6
2009-12-21,USD,INR,46.808496,0
2009-12-22,USD,INR,46.788873,1
2009-12-23,USD,INR,46.792499,2
2009-12-24,USD,INR,46.673114,3
2009-12-25,USD,INR,46.633139,4
2009-12-26,USD,INR,46.633139,5
2009-12-27,USD,INR,46.633139,6
2009-12-28,USD,INR,46.533261,0
2009-12-29,USD,INR,46.642226,1
2009-12-30,USD,INR,46.703317,2
2009-12-31,USD,INR,46.486829,3
