date,source,tocurrency,rate
2017-01-01,USD,INR,67.945029
2017-01-02,USD,INR,68.134003
2017-01-03,USD,INR,68.268997
2017-01-04,USD,INR,67.884003
2017-01-05,USD,INR,67.730003
2017-01-06,USD,INR,68.089996
2017-01-07,USD,INR,68.089996
2017-01-08,USD,INR,68.141998
2017-01-09,USD,INR,68.094002
2017-01-10,USD,INR,68.316002
2017-01-11,USD,INR,68.099998
2017-01-12,USD,INR,68.128998
2017-01-13,USD,INR,68.160004
2017-01-14,USD,INR,68.160004
2017-01-15,USD,INR,68.157997
2017-01-16,USD,INR,68.094002
2017-01-17,USD,INR,67.899002
2017-01-18,USD,INR,68.196999
2017-01-19,USD,INR,68.089996
2017-01-20,USD,INR,68.049004
2017-01-21,USD,INR,68.049004
2017-01-22,USD,INR,68.075996
2017-01-23,USD,INR,68.050003
2017-01-24,USD,INR,68.164001
2017-01-25,USD,INR,67.970001
2017-01-26,USD,INR,68.146004
2017-01-27,USD,INR,68.079002
2017-01-28,USD,INR,68.079002
2017-01-29,USD,INR,68.109001
2017-01-30,USD,INR,67.819837
2017-01-31,USD,INR,67.488998
2017-02-01,USD,INR,67.378998
2017-02-02,USD,INR,67.198997
2017-02-03,USD,INR,67.174004
2017-02-04,USD,INR,67.174004
2017-02-05,USD,INR,67.175003
2017-02-06,USD,INR,67.179996
2017-02-07,USD,INR,67.330002
2017-02-08,USD,INR,67.043999
2017-02-09,USD,INR,66.738998
2017-02-10,USD,INR,66.811996
2017-02-11,USD,INR,66.811996
2017-02-12,USD,INR,66.811996
2017-02-13,USD,INR,66.899002
2017-02-14,USD,INR,66.808998
2017-02-15,USD,INR,66.848999
2017-02-16,USD,INR,67.058998
2017-02-17,USD,INR,67.059998
2017-02-18,USD,INR,67.059998
2017-02-19,USD,INR,67.059998
2017-02-20,USD,INR,66.894997
2017-02-21,USD,INR,66.949997
2017-02-22,USD,INR,66.900002
2017-02-23,USD,INR,66.683998
2017-02-24,USD,INR,66.619003
2017-02-25,USD,INR,66.619003
2017-02-26,USD,INR,66.619003
2017-02-27,USD,INR,66.689003
2017-02-28,USD,INR,66.689003
2017-03-01,USD,INR,66.699997
2017-03-02,USD,INR,66.759003
2017-03-03,USD,INR,66.749001
2017-03-04,USD,INR,66.749001
2017-03-05,USD,INR,66.749001
2017-03-06,USD,INR,66.649002
2017-03-07,USD,INR,66.613998
2017-03-08,USD,INR,66.753998
2017-03-09,USD,INR,66.750152
2017-03-10,USD,INR,66.528999
2017-03-11,USD,INR,66.528999
2017-03-12,USD,INR,66.528999
2017-03-13,USD,INR,66.158997
2017-03-14,USD,INR,65.759003
2017-03-15,USD,INR,65.249832
2017-03-16,USD,INR,65.359001
2017-03-17,USD,INR,65.448997
2017-03-18,USD,INR,65.448997
2017-03-19,USD,INR,65.448997
2017-03-20,USD,INR,65.319022
2017-03-21,USD,INR,65.480003
2017-03-22,USD,INR,65.429001
2017-03-23,USD,INR,65.429001
2017-03-24,USD,INR,65.400002
2017-03-25,USD,INR,65.400002
2017-03-26,USD,INR,65.400002
2017-03-27,USD,INR,64.970001
2017-03-28,USD,INR,65.019997
2017-03-29,USD,INR,64.839996
2017-03-30,USD,INR,64.849998
2017-03-31,USD,INR,64.848999
2017-04-01,USD,INR,64.848999
2017-04-02,USD,INR,64.849998
2017-04-03,USD,INR,64.959999
2017-04-04,USD,INR,65.069647
2017-04-05,USD,INR,64.970001
2017-04-06,USD,INR,64.601997
2017-04-07,USD,INR,64.265999
2017-04-08,USD,INR,64.265999
2017-04-09,USD,INR,64.265999
2017-04-10,USD,INR,64.570272
2017-04-11,USD,INR,64.724919
2017-04-12,USD,INR,64.569824
2017-04-13,USD,INR,64.429001
2017-04-14,USD,INR,64.45904
2017-04-15,USD,INR,64.45904
2017-04-16,USD,INR,64.458991
2017-04-17,USD,INR,64.458982
2017-04-18,USD,INR,64.550003
2017-04-19,USD,INR,64.628998
2017-04-20,USD,INR,64.609001
2017-04-21,USD,INR,64.628998
2017-04-22,USD,INR,64.628998
2017-04-23,USD,INR,64.629997
2017-04-24,USD,INR,64.485001
2017-04-25,USD,INR,64.309998
2017-04-26,USD,INR,64.110001
2017-04-27,USD,INR,64.099998
2017-04-28,USD,INR,64.269997
2017-04-29,USD,INR,64.269997
2017-04-30,USD,INR,64.269997
2017-05-01,USD,INR,64.238998
2017-05-02,USD,INR,64.149002
2017-05-03,USD,INR,64.150002
2017-05-04,USD,INR,64.199997
2017-05-05,USD,INR,64.300003
2017-05-06,USD,INR,64.300003
2017-05-07,USD,INR,64.299004
2017-05-08,USD,INR,64.338997
2017-05-09,USD,INR,64.667999
2017-05-10,USD,INR,64.525002
2017-05-11,USD,INR,64.389025
2017-05-12,USD,INR,64.23704
2017-05-13,USD,INR,64.23704
2017-05-14,USD,INR,64.236965
2017-05-15,USD,INR,64.040001
2017-05-16,USD,INR,64.029999
2017-05-17,USD,INR,64.290001
2017-05-18,USD,INR,64.870003
2017-05-19,USD,INR,64.558998
2017-05-20,USD,INR,64.558998
2017-05-21,USD,INR,64.558998
2017-05-22,USD,INR,64.478996
2017-05-23,USD,INR,64.869003
2017-05-24,USD,INR,64.750442
2017-05-25,USD,INR,64.550003
2017-05-26,USD,INR,64.504997
2017-05-27,USD,INR,64.504997
2017-05-28,USD,INR,64.504997
2017-05-29,USD,INR,64.535004
2017-05-30,USD,INR,64.599998
2017-05-31,USD,INR,64.504997
2017-06-01,USD,INR,64.434998
2017-06-02,USD,INR,64.399002
2017-06-03,USD,INR,64.399002
2017-06-04,USD,INR,64.516129
2017-06-05,USD,INR,64.330002
2017-06-06,USD,INR,64.418999
2017-06-07,USD,INR,64.408997
2017-06-08,USD,INR,64.238998
2017-06-09,USD,INR,64.238998
2017-06-10,USD,INR,64.238998
2017-06-11,USD,INR,64.239998
2017-06-12,USD,INR,64.470001
2017-06-13,USD,INR,64.330002
2017-06-14,USD,INR,64.230003
2017-06-15,USD,INR,64.540001
2017-06-16,USD,INR,64.429001
2017-06-17,USD,INR,64.429001
2017-06-18,USD,INR,64.429001
2017-06-19,USD,INR,64.469002
2017-06-20,USD,INR,64.533997
2017-06-21,USD,INR,64.528999
2017-06-22,USD,INR,64.588997
2017-06-23,USD,INR,64.478996
2017-06-24,USD,INR,64.478996
2017-06-25,USD,INR,64.480003
2017-06-26,USD,INR,64.430443
2017-06-27,USD,INR,64.470001
2017-06-28,USD,INR,64.510825
2017-06-29,USD,INR,64.654999
2017-06-30,USD,INR,64.614998
2017-07-01,USD,INR,64.614998
2017-07-02,USD,INR,64.614998
2017-07-03,USD,INR,64.839996
2017-07-04,USD,INR,64.775002
2017-07-05,USD,INR,64.793999
2017-07-06,USD,INR,64.719002
2017-07-07,USD,INR,64.584999
2017-07-08,USD,INR,64.598999
2017-07-09,USD,INR,64.598999
2017-07-10,USD,INR,64.448997
2017-07-11,USD,INR,64.550003
2017-07-12,USD,INR,64.449997
2017-07-13,USD,INR,64.454002
2017-07-14,USD,INR,64.290001
2017-07-15,USD,INR,64.290001
2017-07-16,USD,INR,64.375011
2017-07-17,USD,INR,64.319748
2017-07-18,USD,INR,64.265999
