date,source,tocurrency,rate
2018-01-01,USD,INR,63.674999
2018-01-02,USD,INR,63.450001
2018-01-03,USD,INR,63.400002
2018-01-04,USD,INR,63.394001
2018-01-05,USD,INR,63.328999
2018-01-06,USD,INR,63.328999
2018-01-07,USD,INR,63.328999
2018-01-08,USD,INR,63.469002
2018-01-09,USD,INR,63.664001
2018-01-10,USD,INR,63.618999
2018-01-11,USD,INR,63.679001
2018-01-12,USD,INR,63.598999
2018-01-13,USD,INR,63.598999
2018-01-14,USD,INR,63.598999
2018-01-15,USD,INR,63.508999
2018-01-16,USD,INR,64.009003
2018-01-17,USD,INR,63.879002
2018-01-18,USD,INR,63.859001
2018-01-19,USD,INR,63.81904
2018-01-20,USD,INR,63.81904
2018-01-21,USD,INR,63.818985
2018-01-22,USD,INR,63.879002
2018-01-23,USD,INR,63.749001
2018-01-24,USD,INR,63.583014
2018-01-25,USD,INR,63.508999
2018-01-26,USD,INR,63.56904
2018-01-27,USD,INR,63.56904
2018-01-28,USD,INR,63.568988
2018-01-29,USD,INR,63.589001
2018-01-30,USD,INR,63.679001
2018-01-31,USD,INR,63.539001
2018-02-01,USD,INR,63.969002
2018-02-02,USD,INR,64.119003
2018-02-03,USD,INR,64.119003
2018-02-04,USD,INR,64.119003
2018-02-05,USD,INR,64.128998
2018-02-06,USD,INR,64.198997
2018-02-07,USD,INR,64.342003
2018-02-08,USD,INR,64.459999
2018-02-09,USD,INR,64.338997
2018-02-10,USD,INR,64.338997
2018-02-11,USD,INR,64.338997
2018-02-12,USD,INR,64.268997
2018-02-13,USD,INR,64.259003
2018-02-14,USD,INR,64.094002
2018-02-15,USD,INR,63.889028
2018-02-16,USD,INR,64.238998
2018-02-17,USD,INR,64.238998
2018-02-18,USD,INR,64.404503
2018-02-19,USD,INR,64.550398
2018-02-20,USD,INR,64.848999
2018-02-21,USD,INR,64.799004
2018-02-22,USD,INR,64.969002
2018-02-23,USD,INR,64.888702
2018-02-24,USD,INR,64.888702
2018-02-25,USD,INR,64.888702
2018-02-26,USD,INR,64.760002
2018-02-27,USD,INR,64.908997
2018-02-28,USD,INR,65.198997
2018-03-01,USD,INR,65.219002
2018-03-02,USD,INR,65.213604
2018-03-03,USD,INR,65.20904
2018-03-04,USD,INR,65.209009
2018-03-05,USD,INR,65.018997
2018-03-06,USD,INR,64.893997
2018-03-07,USD,INR,64.869003
2018-03-08,USD,INR,65.098999
2018-03-09,USD,INR,64.980003
2018-03-10,USD,INR,64.980003
2018-03-11,USD,INR,64.971101
2018-03-12,USD,INR,64.978996
2018-03-13,USD,INR,64.848999
2018-03-14,USD,INR,64.829002
2018-03-15,USD,INR,65.049599
2018-03-16,USD,INR,65.083603
2018-03-17,USD,INR,64.980003
2018-03-18,USD,INR,64.980003
2018-03-19,USD,INR,65.209999
2018-03-20,USD,INR,65.228996
2018-03-21,USD,INR,65.073898
2018-03-22,USD,INR,65.194603
2018-03-23,USD,INR,64.978996
2018-03-24,USD,INR,64.978996
2018-03-25,USD,INR,64.978996
2018-03-26,USD,INR,64.819002
2018-03-27,USD,INR,64.939003
2018-03-28,USD,INR,65.149002
2018-03-29,USD,INR,65.109001
2018-03-30,USD,INR,65.109001
2018-03-31,USD,INR,65.110001
2018-04-01,USD,INR,65.110001
2018-04-02,USD,INR,65.120003
2018-04-03,USD,INR,64.988998
2018-04-04,USD,INR,65.039001
2018-04-05,USD,INR,64.879997
2018-04-06,USD,INR,64.919998
2018-04-07,USD,INR,64.919998
2018-04-08,USD,INR,64.919998
2018-04-09,USD,INR,64.949997
2018-04-10,USD,INR,64.939003
2018-04-11,USD,INR,65.253998
2018-04-12,USD,INR,65.278999
2018-04-13,USD,INR,65.241096
2018-04-14,USD,INR,65.250387
2018-04-15,USD,INR,65.249631
2018-04-16,USD,INR,65.459999
2018-04-17,USD,INR,65.668999
2018-04-18,USD,INR,65.709011
2018-04-19,USD,INR,66.123001
2018-04-20,USD,INR,66.241997
2018-04-21,USD,INR,66.198997
2018-04-22,USD,INR,66.199997
2018-04-23,USD,INR,66.519997
2018-04-24,USD,INR,66.470001
2018-04-25,USD,INR,66.917999
2018-04-26,USD,INR,66.799004
2018-04-27,USD,INR,66.589996
2018-04-28,USD,INR,66.589996
2018-04-29,USD,INR,66.610001
2018-04-30,USD,INR,66.449997
2018-05-01,USD,INR,66.839996
2018-05-02,USD,INR,66.680024
2018-05-03,USD,INR,66.658997
2018-05-04,USD,INR,66.808998
2018-05-05,USD,INR,66.808998
2018-05-06,USD,INR,66.808998
2018-05-07,USD,INR,67.128998
2018-05-08,USD,INR,67.199997
2018-05-09,USD,INR,67.344002
2018-05-10,USD,INR,67.238998
2018-05-11,USD,INR,67.38904
2018-05-12,USD,INR,67.38904
2018-05-13,USD,INR,67.389022
2018-05-14,USD,INR,67.549004
2018-05-15,USD,INR,68.069021
2018-05-16,USD,INR,67.768997
2018-05-17,USD,INR,67.759003
2018-05-18,USD,INR,68.009903
2018-05-19,USD,INR,68.009903
2018-05-20,USD,INR,67.984001
2018-05-21,USD,INR,68.076302
2018-05-22,USD,INR,68.009003
2018-05-23,USD,INR,68.283699
2018-05-24,USD,INR,68.260002
2018-05-25,USD,INR,67.730003
2018-05-26,USD,INR,67.730003
2018-05-27,USD,INR,67.730003
2018-05-28,USD,INR,67.394997
2018-05-29,USD,INR,67.877701
2018-05-30,USD,INR,67.430121
2018-05-31,USD,INR,67.419998
2018-06-01,USD,INR,66.988998
2018-06-01,USD,INR,66.988998
2018-06-02,USD,INR,66.988998
2018-06-03,USD,INR,66.988998
2018-06-04,USD,INR,67.058998
2018-06-05,USD,INR,67.088997
2018-06-06,USD,INR,66.829002
2018-06-07,USD,INR,67.427597
2018-06-08,USD,INR,67.527298
2018-06-09,USD,INR,67.527298
2018-06-10,USD,INR,67.52
2018-06-11,USD,INR,67.464996
2018-06-12,USD,INR,67.474998
2018-06-13,USD,INR,67.561897
2018-06-14,USD,INR,67.680137
2018-06-15,USD,INR,68.188698
2018-06-16,USD,INR,68.188698
2018-06-17,USD,INR,68.054983
2018-06-18,USD,INR,68.029999
2018-06-19,USD,INR,68.040001
2018-06-20,USD,INR,68.050003
2018-06-21,USD,INR,67.940002
2018-06-22,USD,INR,67.891701
2018-06-23,USD,INR,67.891701
2018-06-24,USD,INR,67.860001
2018-06-25,USD,INR,68.124496
2018-06-26,USD,INR,68.360001
2018-06-27,USD,INR,68.932503
2018-06-28,USD,INR,68.830002
2018-06-29,USD,INR,68.449997
2018-06-30,USD,INR,68.449997
2018-07-01,USD,INR,68.449997
2018-07-02,USD,INR,68.709999
2018-07-03,USD,INR,68.521103
2018-07-04,USD,INR,68.684998
2018-07-05,USD,INR,68.870003
2018-07-06,USD,INR,68.766296
2018-07-07,USD,INR,68.800003
2018-07-08,USD,INR,68.360001
2018-07-09,USD,INR,68.660004
2018-07-10,USD,INR,68.749001
2018-07-11,USD,INR,68.723999
2018-07-12,USD,INR,68.478996
2018-07-13,USD,INR,68.488998
2018-07-14,USD,INR,68.488998
2018-07-15,USD,INR,68.488998
2018-07-16,USD,INR,68.540604
2018-07-17,USD,INR,68.418999
2018-07-18,USD,INR,68.513603
2018-07-19,USD,INR,69.009003
2018-07-20,USD,INR,68.755302
2018-07-21,USD,INR,68.755302
2018-07-22,USD,INR,68.755302
2018-07-23,USD,INR,68.974098
2018-07-24,USD,INR,68.942001
2018-07-25,USD,INR,68.723999
2018-07-26,USD,INR,68.653999
2018-07-27,USD,INR,68.697502
2018-07-28,USD,INR,68.697502
2018-07-29,USD,INR,68.624999
2018-07-30,USD,INR,68.695026
2018-07-31,USD,INR,68.506794
2018-08-01,USD,INR,68.317099
2018-08-02,USD,INR,68.6255
2018-08-03,USD,INR,68.51504
2018-08-04,USD,INR,68.51504
