date,source,tocurrency,rate,Day Of Week
2008-01-01,USD,INR,39.346065,1
2008-01-02,USD,INR,39.345911,2
2008-01-03,USD,INR,39.288483,3
2008-01-04,USD,INR,39.200962,4
2008-01-05,USD,INR,39.210679,5
2008-01-06,USD,INR,39.210679,6
2008-01-07,USD,INR,39.181921,0
2008-01-08,USD,INR,39.146716,1
2008-01-09,USD,INR,39.151282,2
2008-01-10,USD,INR,39.20695,3
2008-01-11,USD,INR,39.182131,4
2008-01-12,USD,INR,39.217782,5
2008-01-13,USD,INR,39.217782,6
2008-01-14,USD,INR,39.155125,0
2008-01-15,USD,INR,39.213139,1
2008-01-16,USD,INR,39.223665,2
2008-01-17,USD,INR,39.175435,3
2008-01-18,USD,INR,39.21031,4
2008-01-19,USD,INR,39.21531,5
2008-01-20,USD,INR,39.21531,6
2008-01-21,USD,INR,39.414105,0
2008-01-22,USD,INR,39.370001,1
2008-01-23,USD,INR,39.54062,2
2008-01-24,USD,INR,39.39768,3
2008-01-25,USD,INR,39.317585,4
2008-01-26,USD,INR,39.300757,5
2008-01-27,USD,INR,39.300757,6
2008-01-28,USD,INR,39.317635,0
2008-01-29,USD,INR,39.312251,1
2008-01-30,USD,INR,39.318919,2
2008-01-31,USD,INR,39.320335,3
2008-02-01,USD,INR,39.126575,4
2008-02-02,USD,INR,39.122108,5
2008-02-03,USD,INR,39.122108,6
2008-02-04,USD,INR,39.228175,0
2008-02-05,USD,INR,39.432122,1
2008-02-06,USD,INR,39.460891,2
2008-02-07,USD,INR,39.450909,3
2008-02-08,USD,INR,39.577276,4
2008-02-09,USD,INR,39.566256,5
2008-02-10,USD,INR,39.566256,6
2008-02-11,USD,INR,39.642121,0
2008-02-12,USD,INR,39.616379,1
2008-02-13,USD,INR,39.712633,2
2008-02-14,USD,INR,39.564748,3
2008-02-15,USD,INR,39.625312,4
2008-02-16,USD,INR,39.657994,5
2008-02-17,USD,INR,39.657994,6
2008-02-18,USD,INR,39.699458,0
2008-02-19,USD,INR,39.866618,1
2008-02-20,USD,INR,40.137274,2
2008-02-21,USD,INR,39.854925,3
2008-02-22,USD,INR,40.004116,4
2008-02-23,USD,INR,40.005348,5
2008-02-24,USD,INR,40.005348,6
2008-02-25,USD,INR,39.90116,0
2008-02-26,USD,INR,39.866815,1
2008-02-27,USD,INR,39.703709,2
2008-02-28,USD,INR,39.826719,3
2008-02-29,USD,INR,39.952416,4
2008-03-01,USD,INR,39.959883,5
2008-03-02,USD,INR,39.959883,6
2008-03-03,USD,INR,40.317115,0
2008-03-04,USD,INR,40.254499,1
2008-03-05,USD,INR,40.239397,2
2008-03-06,USD,INR,40.168353,3
2008-03-07,USD,INR,40.438065,4
2008-03-08,USD,INR,40.487501,5
2008-03-09,USD,INR,40.487501,6
2008-03-10,USD,INR,40.414376,0
2008-03-11,USD,INR,40.271717,1
2008-03-12,USD,INR,40.132629,2
2008-03-13,USD,INR,40.266302,3
2008-03-14,USD,INR,40.297493,4
2008-03-15,USD,INR,40.304189,5
2008-03-16,USD,INR,40.304189,6
2008-03-17,USD,INR,40.530611,0
2008-03-18,USD,INR,40.297084,1
2008-03-19,USD,INR,40.173924,2
2008-03-20,USD,INR,40.347282,3
2008-03-21,USD,INR,40.100299,4
2008-03-22,USD,INR,40.340598,5
2008-03-23,USD,INR,40.340598,6
2008-03-24,USD,INR,40.140784,0
2008-03-25,USD,INR,40.013973,1
2008-03-26,USD,INR,40.003697,2
2008-03-27,USD,INR,39.990487,3
2008-03-28,USD,INR,39.790227,4
2008-03-29,USD,INR,39.76325,5
2008-03-30,USD,INR,39.76325,6
2008-03-31,USD,INR,40.016241,0
2008-04-01,USD,INR,39.948818,1
2008-04-02,USD,INR,39.915617,2
2008-04-03,USD,INR,39.971191,3
2008-04-04,USD,INR,39.947323,4
2008-04-05,USD,INR,40.008012,5
2008-04-06,USD,INR,40.008012,6
2008-04-07,USD,INR,39.969386,0
2008-04-08,USD,INR,39.959253,1
2008-04-09,USD,INR,39.932959,2
2008-04-10,USD,INR,39.924946,3
2008-04-11,USD,INR,39.892159,4
2008-04-12,USD,INR,39.984901,5
2008-04-13,USD,INR,39.984901,6
2008-04-14,USD,INR,39.899978,0
2008-04-15,USD,INR,39.954051,1
2008-04-16,USD,INR,39.886095,2
2008-04-17,USD,INR,39.848535,3
2008-04-18,USD,INR,39.770952,4
2008-04-19,USD,INR,39.819865,5
2008-04-20,USD,INR,39.819865,6
2008-04-21,USD,INR,39.917478,0
2008-04-22,USD,INR,39.930343,1
2008-04-23,USD,INR,39.941155,2
2008-04-24,USD,INR,40.194413,3
2008-04-25,USD,INR,40.131694,4
2008-04-26,USD,INR,40.170187,5
2008-04-27,USD,INR,40.170187,6
