date,source,tocurrency,rate
2013-01-01,USD,INR,54.712303
2013-01-02,USD,INR,54.442367
2013-01-03,USD,INR,54.447983
2013-01-04,USD,INR,54.718133
2013-01-05,USD,INR,54.812203
2013-01-06,USD,INR,54.804493
2013-01-07,USD,INR,54.966833
2013-01-08,USD,INR,55.04738
2013-01-09,USD,INR,54.855489
2013-01-10,USD,INR,54.654167
2013-01-11,USD,INR,54.73539
2013-01-12,USD,INR,54.72356
2013-01-13,USD,INR,54.7492
2013-01-14,USD,INR,54.552351
2013-01-15,USD,INR,54.59106
2013-01-16,USD,INR,54.691507
2013-01-17,USD,INR,54.425991
2013-01-18,USD,INR,53.911305
2013-01-19,USD,INR,53.783956
2013-01-20,USD,INR,53.732696
2013-01-21,USD,INR,53.745525
2013-01-22,USD,INR,53.777348
2013-01-23,USD,INR,53.656848
2013-01-24,USD,INR,53.676705
2013-01-25,USD,INR,53.763907
2013-01-26,USD,INR,53.777506
2013-01-27,USD,INR,53.795416
2013-01-28,USD,INR,53.882201
2013-01-29,USD,INR,53.781365
2013-01-30,USD,INR,53.388731
2013-01-31,USD,INR,53.254007
2013-02-01,USD,INR,53.187107
2013-02-02,USD,INR,53.187935
2013-02-03,USD,INR,53.142875
2013-02-04,USD,INR,53.235963
2013-02-05,USD,INR,53.165416
2013-02-06,USD,INR,53.169025
2013-02-07,USD,INR,53.209974
2013-02-08,USD,INR,53.525114
2013-02-09,USD,INR,53.593947
2013-02-10,USD,INR,53.622417
2013-02-11,USD,INR,53.806031
2013-02-12,USD,INR,53.876292
2013-02-13,USD,INR,53.8496
2013-02-14,USD,INR,53.894001
2013-02-15,USD,INR,54.164511
2013-02-16,USD,INR,54.211281
2013-02-17,USD,INR,54.347725
2013-02-18,USD,INR,54.182182
2013-02-19,USD,INR,54.233303
2013-02-20,USD,INR,54.13135
2013-02-21,USD,INR,54.42383
2013-02-22,USD,INR,54.355609
2013-02-23,USD,INR,54.30865
2013-02-24,USD,INR,54.27527
2013-02-25,USD,INR,53.969739
2013-02-26,USD,INR,54.085473
2013-02-27,USD,INR,53.907554
2013-02-28,USD,INR,54.264192
2013-03-01,USD,INR,54.741312
2013-03-02,USD,INR,54.898151
2013-03-03,USD,INR,54.984975
2013-03-04,USD,INR,54.9436
2013-03-05,USD,INR,54.911407
2013-03-06,USD,INR,54.776505
2013-03-07,USD,INR,54.639525
2013-03-08,USD,INR,54.496403
2013-03-09,USD,INR,54.360253
2013-03-10,USD,INR,54.360533
2013-03-11,USD,INR,54.394236
2013-03-12,USD,INR,54.219693
2013-03-13,USD,INR,54.29275
2013-03-14,USD,INR,54.337151
2013-03-15,USD,INR,54.076979
2013-03-16,USD,INR,54.039125
2013-03-17,USD,INR,54.171003
2013-03-18,USD,INR,54.110876
2013-03-19,USD,INR,54.3239
2013-03-20,USD,INR,54.329013
2013-03-21,USD,INR,54.308417
2013-03-22,USD,INR,54.345412
2013-03-23,USD,INR,54.356312
2013-03-24,USD,INR,54.360562
2013-03-25,USD,INR,54.22555
2013-03-26,USD,INR,54.330575
2013-03-27,USD,INR,54.348097
2013-03-28,USD,INR,54.322626
2013-03-29,USD,INR,54.298155
2013-03-30,USD,INR,54.318725
2013-03-31,USD,INR,54.335035
2013-04-01,USD,INR,54.320809
2013-04-02,USD,INR,54.4458
2013-04-03,USD,INR,54.466458
2013-04-04,USD,INR,54.77805
2013-04-05,USD,INR,54.863641
2013-04-06,USD,INR,54.840083
2013-04-07,USD,INR,54.764513
2013-04-08,USD,INR,54.629351
2013-04-09,USD,INR,54.525425
2013-04-10,USD,INR,54.455383
2013-04-11,USD,INR,54.3189
2013-04-12,USD,INR,54.509062
2013-04-13,USD,INR,54.543925
2013-04-14,USD,INR,54.546025
2013-04-15,USD,INR,54.584748
2013-04-16,USD,INR,54.147776
2013-04-17,USD,INR,54.135284
2013-04-18,USD,INR,53.98601
2013-04-19,USD,INR,53.91735
2013-04-20,USD,INR,53.899454
2013-04-21,USD,INR,53.877334
2013-04-22,USD,INR,54.08845
2013-04-23,USD,INR,54.24297
2013-04-24,USD,INR,54.225629
2013-04-25,USD,INR,54.118729
2013-04-26,USD,INR,54.288142
2013-04-27,USD,INR,54.329042
2013-04-28,USD,INR,54.3218
2013-04-29,USD,INR,54.2035
2013-04-30,USD,INR,53.914842
2013-05-01,USD,INR,53.680063
2013-05-02,USD,INR,53.853241
2013-05-03,USD,INR,53.866332
2013-05-04,USD,INR,53.760349
2013-05-05,USD,INR,53.744369
2013-05-06,USD,INR,54.005486
2013-05-07,USD,INR,54.016553
2013-05-08,USD,INR,54.055338
2013-05-09,USD,INR,54.214102
2013-05-10,USD,INR,54.628287
2013-05-11,USD,INR,54.765457
2013-05-12,USD,INR,54.803817
2013-05-13,USD,INR,54.825823
