date,source,tocurrency,rate
2012-01-01,USD,INR,53.08517
2012-01-02,USD,INR,53.30624
2012-01-03,USD,INR,53.134025
2012-01-04,USD,INR,52.910955
2012-01-05,USD,INR,52.923193
2012-01-06,USD,INR,52.70607
2012-01-07,USD,INR,52.724819
2012-01-08,USD,INR,52.724819
2012-01-09,USD,INR,52.467012
2012-01-10,USD,INR,51.711653
2012-01-11,USD,INR,51.841703
2012-01-12,USD,INR,51.52755
2012-01-13,USD,INR,51.455572
2012-01-14,USD,INR,51.488905
2012-01-15,USD,INR,51.488905
2012-01-16,USD,INR,51.417304
2012-01-17,USD,INR,50.672649
2012-01-18,USD,INR,50.402017
2012-01-19,USD,INR,50.279774
2012-01-20,USD,INR,50.253176
2012-01-21,USD,INR,50.258177
2012-01-22,USD,INR,50.258177
2012-01-23,USD,INR,50.008144
2012-01-24,USD,INR,50.070805
2012-01-25,USD,INR,50.200386
2012-01-26,USD,INR,49.94748
2012-01-27,USD,INR,49.395103
2012-01-28,USD,INR,49.355103
2012-01-29,USD,INR,49.355103
2012-01-30,USD,INR,49.716529
2012-01-31,USD,INR,49.486002
2012-02-01,USD,INR,49.194643
2012-02-02,USD,INR,49.098157
2012-02-03,USD,INR,48.719856
2012-02-04,USD,INR,48.704856
2012-02-05,USD,INR,48.704856
2012-02-06,USD,INR,49.053513
2012-02-07,USD,INR,49.274963
2012-02-08,USD,INR,49.170806
2012-02-09,USD,INR,49.378362
2012-02-10,USD,INR,49.48903
2012-02-11,USD,INR,49.497364
2012-02-12,USD,INR,49.497364
2012-02-13,USD,INR,49.154012
2012-02-14,USD,INR,49.403998
2012-02-15,USD,INR,49.352596
2012-02-16,USD,INR,49.389325
2012-02-17,USD,INR,49.269199
2012-02-18,USD,INR,49.257533
2012-02-19,USD,INR,49.257533
2012-02-20,USD,INR,49.153473
2012-02-21,USD,INR,49.286619
2012-02-22,USD,INR,49.187872
2012-02-23,USD,INR,49.162688
2012-02-24,USD,INR,48.994351
2012-02-25,USD,INR,48.997685
2012-02-26,USD,INR,48.997685
2012-02-27,USD,INR,49.495299
2012-02-28,USD,INR,49.358557
2012-02-29,USD,INR,49.279923
2012-03-01,USD,INR,49.443878
2012-03-02,USD,INR,49.49906
2012-03-03,USD,INR,49.487393
2012-03-04,USD,INR,49.487393
2012-03-05,USD,INR,49.810837
2012-03-06,USD,INR,50.380285
2012-03-07,USD,INR,50.340171
2012-03-08,USD,INR,50.29
2012-03-09,USD,INR,49.781824
2012-03-10,USD,INR,49.800158
2012-03-11,USD,INR,49.800158
2012-03-12,USD,INR,49.982378
